Inception scores torchmetrics. Mean: 1.1129000186920166, std: 0.012550792656838894
FID-torchmetrics: 372.25262451171875
FID-Class airplane: 393.6067199707031
FID-Class automobile: 377.9925842285156
FID-Class bird: 386.71173095703125
FID-Class cat: 384.626220703125
FID-Class deer: 392.81817626953125
FID-Class dog: 387.5526428222656
FID-Class frog: 383.6578674316406
FID-Class horse: 384.951416015625
FID-Class ship: 386.5335693359375
FID-Class truck: 391.12957763671875
