Inception scores torchmetrics. Mean: 1.5729663372039795, std: 0.031175564974546432
FID-torchmetrics: 301.6777648925781
FID-Class airplane: 341.07073974609375
FID-Class automobile: 327.05450439453125
FID-Class bird: 330.6100769042969
FID-Class cat: 335.3767395019531
FID-Class deer: 339.8265380859375
FID-Class dog: 334.3650817871094
FID-Class frog: 330.78564453125
FID-Class horse: 332.82952880859375
FID-Class ship: 326.7486877441406
FID-Class truck: 331.80279541015625
